Time,EAR,MAR,Blinks,Yawns,Drowsy
1774793026.36,0.409,0.033,62,0,0
1774793026.41,0.443,0.024,62,0,0
1774793026.49,0.417,0.024,62,0,0
1774793026.5,0.461,0.022,62,0,0
1774793026.52,0.456,0.023,62,0,0
1774793026.56,0.467,0.0,62,0,0
1774793026.57,0.468,0.032,62,0,0
1774793026.62,0.348,0.0,62,0,0
1774793026.63,0.388,0.023,62,0,0
1774793026.69,0.205,0.023,62,0,0
1774793026.7,0.221,0.0,62,0,0
1774793026.75,0.321,0.0,62,0,0
1774793026.76,0.297,0.022,62,0,0
1774793026.82,0.356,0.021,62,0,0
1774793026.89,0.361,0.0,62,0,0
1774793026.91,0.387,0.0,62,0,0
1774793026.92,0.38,0.021,62,0,0
1774793026.96,0.362,0.0,62,0,0
1774793026.97,0.374,0.029,62,0,0
1774793027.02,0.366,0.028,62,0,0
1774793027.03,0.372,0.02,62,0,0
1774793027.09,0.343,0.0,62,0,0
1774793027.1,0.334,0.0,62,0,0
1774793027.17,0.124,0.027,62,0,0
1774793027.18,0.097,0.0,62,0,0
1774793027.21,0.174,0.019,62,0,0
1774793027.29,0.297,0.018,63,0,0
1774793027.3,0.294,0.018,63,0,0
1774793027.31,0.281,0.018,63,0,0
1774793027.36,0.31,0.018,63,0,0
1774793027.37,0.311,0.0,63,0,0
1774793027.42,0.297,0.018,63,0,0
1774793027.44,0.298,0.018,63,0,0
1774793027.48,0.293,0.019,63,0,0
1774793027.5,0.293,0.018,63,0,0
1774793027.55,0.293,0.0,63,0,0
1774793027.57,0.276,0.026,63,0,0
1774793027.61,0.297,0.018,63,0,0
1774793027.7,0.302,0.018,63,0,0
1774793027.71,0.293,0.018,63,0,0
1774793027.72,0.3,0.018,63,0,0
1774793027.75,0.331,0.018,63,0,0
1774793027.77,0.313,0.018,63,0,0
1774793027.82,0.288,0.018,63,0,0
1774793027.83,0.285,0.0,63,0,0
1774793027.89,0.4,0.0,63,0,0
1774793027.9,0.435,0.0,63,0,0
1774793027.95,0.418,0.022,63,0,0
1774793027.96,0.57,0.022,63,0,0
1774793028.03,0.43,0.064,63,0,0
1774793028.1,0.607,0.047,63,0,0
1774793028.11,0.486,0.049,63,0,0
1774793028.13,0.564,0.023,63,0,0
1774793028.16,0.955,0.0,63,0,0
1774793028.17,0.584,0.021,63,0,0
1774793028.22,0.496,0.023,63,0,0
1774793028.23,0.653,0.029,63,0,0
1774793028.28,0.567,0.02,63,0,0
1774793028.29,0.421,0.043,63,0,0
1774793028.35,0.528,0.04,63,0,0
1774793028.36,0.464,0.021,63,0,0
1774793028.43,0.474,0.062,63,0,0
1774793028.44,0.485,0.02,63,0,0
1774793028.49,0.562,0.073,63,0,0
1774793028.51,0.492,0.094,63,0,0
1774793028.56,0.431,0.095,63,0,0
1774793028.57,0.439,0.091,63,0,0
1774793028.62,0.393,0.071,63,0,0
1774793028.64,0.464,0.033,63,0,0
1774793028.68,0.392,0.034,63,0,0
1774793028.7,0.454,0.093,63,0,0
1774793028.75,0.428,0.052,63,0,0
1774793028.76,0.408,0.033,63,0,0
1774793028.83,0.561,0.024,63,0,0
1774793028.84,0.414,0.024,63,0,0
1774793028.9,0.37,0.024,63,0,0
1774793028.91,0.441,0.0,63,0,0
1774793028.95,0.337,0.025,63,0,0
1774793028.97,0.396,0.036,63,0,0
1774793029.02,0.3,0.039,63,0,0
1774793029.04,0.227,0.039,63,0,0
1774793029.09,0.261,0.064,63,0,0
1774793029.1,0.319,0.056,63,0,0
1774793029.15,0.323,0.0,63,0,0
1774793029.18,0.297,0.0,63,0,0
1774793029.23,0.316,0.024,63,0,0
1774793029.24,0.312,0.026,63,0,0
1774793029.29,0.309,0.167,63,0,0
1774793029.3,0.321,0.226,63,0,0
1774793029.36,0.322,0.066,63,0,0
1774793029.37,0.416,0.038,63,0,0
1774793029.42,0.403,0.348,63,0,0
1774793029.43,0.372,0.466,63,0,0
1774793029.49,0.325,0.047,63,0,0
1774793029.5,0.395,0.343,63,0,0
1774793029.55,0.356,0.25,63,0,0
1774793029.56,0.373,0.156,63,0,0
1774793029.63,0.457,0.092,63,0,0
1774793029.64,0.295,0.051,63,0,0
1774793029.69,0.294,0.088,63,0,0
1774793029.7,0.293,0.066,63,0,0
1774793029.76,0.394,0.103,63,0,0
1774793029.77,0.368,0.149,63,0,0
1774793029.82,0.306,0.034,63,0,0
1774793029.84,0.308,0.0,63,0,0
1774793029.88,0.321,0.033,63,0,0
1774793029.9,0.343,0.024,63,0,0
1774793029.95,0.331,0.03,63,0,0
1774793029.96,0.325,0.022,63,0,0
1774793030.03,0.263,0.052,63,0,0
1774793030.05,0.298,0.032,63,0,0
1774793030.09,0.317,0.0,63,0,0
1774793030.11,0.515,0.034,63,0,0
1774793030.16,0.351,0.032,63,0,0
1774793030.17,0.291,0.024,63,0,0
1774793030.22,0.3,0.051,63,0,0
1774793030.23,0.321,0.031,63,0,0
1774793030.29,0.274,0.022,63,0,0
1774793030.3,0.347,0.077,63,0,0
1774793030.36,0.297,0.028,63,0,0
1774793030.38,0.276,0.024,63,0,0
1774793030.43,0.308,0.0,63,0,0
1774793030.5,0.434,0.409,63,0,0
1774793030.51,0.363,0.074,63,0,0
1774793030.56,0.289,0.087,63,0,0
1774793030.57,0.517,0.078,63,0,0
1774793030.62,0.435,0.062,63,0,0
1774793030.63,0.444,0.086,63,0,0
1774793030.68,0.361,0.074,63,0,0
1774793030.7,0.505,0.091,63,0,0
1774793030.77,0.389,0.032,63,0,0
1774793030.78,0.268,0.021,63,0,0
1774793030.83,0.301,0.044,63,0,0
1774793030.84,0.267,0.0,63,0,0
1774793030.89,0.271,0.018,63,0,0
1774793030.91,0.265,0.016,63,0,0
1774793030.96,0.254,0.022,63,0,0
1774793030.97,0.303,0.021,63,0,0
1774793031.02,0.2,0.014,63,0,0
1774793031.03,0.28,0.015,63,0,0
1774793031.09,0.217,0.0,63,0,0
1774793031.1,0.255,0.016,63,0,0
1774793031.18,0.232,0.016,63,0,0
1774793031.19,0.256,0.016,63,0,0
1774793031.23,0.262,0.0,63,0,0
1774793031.24,0.271,0.0,63,0,0
1774793031.29,0.263,0.022,63,0,0
1774793031.31,0.258,0.024,63,0,0
1774793031.36,0.242,0.015,63,0,0
1774793031.37,0.31,0.0,63,0,0
1774793031.42,0.303,0.021,63,0,0
1774793031.44,0.238,0.013,63,0,0
1774793031.49,0.209,0.013,63,0,0
1774793031.5,0.257,0.018,63,0,0
1774793031.57,0.28,0.0,63,0,0
1774793031.58,0.267,0.013,63,0,0
1774793031.63,0.244,0.019,63,0,0
1774793031.64,0.232,0.019,63,0,0
1774793031.7,0.24,0.02,63,0,0
1774793031.71,0.26,0.029,63,0,0
1774793031.75,0.236,0.019,63,0,0
1774793031.77,0.248,0.013,63,0,0
1774793031.82,0.231,0.018,63,0,0
1774793031.84,0.233,0.013,63,0,0
1774793031.89,0.244,0.029,63,0,0
1774793031.9,0.229,0.019,63,0,0
1774793031.96,0.267,0.017,63,0,0
1774793031.98,0.289,0.018,63,0,0
1774793032.03,0.306,0.017,63,0,0
1774793032.04,0.256,0.016,63,0,0
1774793032.09,0.278,0.012,63,0,0
1774793032.1,0.267,0.017,63,0,0
1774793032.16,0.41,0.012,63,0,0
1774793032.17,0.41,0.0,63,0,0
1774793032.22,0.433,0.02,63,0,0
1774793032.23,0.465,0.015,63,0,0
1774793032.3,0.38,0.02,63,0,0
1774793032.32,0.384,0.0,63,0,0
1774793032.36,0.363,0.019,63,0,0
1774793032.38,0.398,0.013,63,0,0
1774793032.43,0.386,0.0,63,0,0
1774793032.44,0.274,0.0,63,0,0
1774793032.49,0.366,0.021,63,0,0
1774793032.5,0.331,0.016,63,0,0
1774793032.56,0.331,0.1,63,0,0
1774793032.57,0.313,0.059,63,0,0
1774793032.62,0.295,0.045,63,0,0
